State,Legislature Control,State Control
Alabama,Rep,Rep
Alaska,Rep,Rep
Arizona,Rep,Rep
Arkansas,Rep,Rep
California,Dem,Dem
Colorado,Dem,Dem
Connecticut,Dem,Dem
Delaware,Dem,Dem
Florida,Rep,Rep
Georgia,Rep,Rep
Hawaii,Dem,Dem
Idaho,Rep,Rep
Illinois,Dem,Dem
Indiana,Rep,Rep
Iowa,Rep,Rep
Kansas,Rep,Divided
Kentucky,Rep,Divided
Louisiana,Rep,Divided
Maine,Dem,Dem
Maryland,Dem,Divided
Massachusetts,Dem,Divided
Michigan,Rep,Divided
Minnesota,Divided,Divided
Mississippi,Rep,Rep
Missouri,Rep,Rep
Montana,Rep,Divided
Nebraska,N/A,N/A
Nevada,Dem,Dem
New Hampshire,Dem,Divided
New Jersey,Dem,Dem
New Mexico,Dem,Dem
New York,Dem,Dem
North Carolina,Rep,Divided
North Dakota,Rep,Rep
Ohio,Rep,Rep
Oklahoma,Rep,Rep
Oregon,Dem,Dem
Pennsylvania,Rep,Divided
Rhode Island,Dem,Dem
South Carolina,Rep,Rep
South Dakota,Rep,Rep
Tennessee,Rep,Rep
Texas,Rep,Rep
Utah,Rep,Rep
Vermont,Dem,Divided
Virginia,Dem,Dem
Washington,Dem,Dem
West Virginia,Rep,Rep
Wisconsin,Rep,Divided
Wyoming,Rep,Rep